pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason
VGK_EWP,VGK,EWP,EUROPE,SHORT,2016-06-03,2016-06-14,7,2.070775921681733,0.038920376395377036,0.6479289929251333,8.41601727703915,77.24261804546552,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2016-06-14,2016-06-20,4,-3.1261852953675677,-0.49014426637541636,0.8742229020130764,5.348316557882537,115.14166940352644,convergence
EWQ_EWP,EWQ,EWP,EUROPE,SHORT,2016-06-23,2016-06-24,1,2.6733480667608314,0.10432360768954656,0.5333710927599904,9.4180013090973,154.07524693143097,convergence
VGK_EWP,VGK,EWP,EUROPE,SHORT,2016-06-21,2016-06-27,4,2.2245995005043326,-0.4564785215067116,0.6479289929251333,8.41601727703915,122.33504076542106,convergence
EWQ_EWP,EWQ,EWP,EUROPE,LONG,2016-06-27,2016-06-29,2,-2.134775166916066,-0.44845025853907405,0.5333710927599904,9.4180013090973,94.96146027884387,convergence
EWJ_DXJ,EWJ,DXJ,ASIA_DEV,SHORT,2016-06-16,2016-07-05,12,2.319409045826088,2.6543513280946494,0.7525620687965349,6.271514300868031,-228.05340596813284,max_holding
FEZ_EWU,FEZ,EWU,EUROPE,LONG,2016-06-20,2016-07-07,12,-2.2053975929116545,-2.2179092141597367,0.8418287911069942,6.080457459852237,-111.51504776939333,max_holding
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2016-06-30,2016-07-07,4,2.572445059269049,0.24093809891127024,0.6082778067062804,6.330907776686568,68.17354863618272,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2016-06-24,2016-07-11,10,-3.45860124609619,-1.6974237400770837,0.8742229020130764,5.348316557882537,-40.48294011461269,max_holding
EZU_EWU,EZU,EWU,EUROPE,LONG,2016-06-22,2016-07-13,14,-2.0990206439220533,-0.8326173825662124,0.7586753903944563,7.319257887691633,-15.502826984349984,max_holding
FEZ_EWU,FEZ,EWU,EUROPE,LONG,2016-07-07,2016-07-14,5,-2.2179092141597367,-0.45259908156595896,0.8418287911069942,6.080457459852237,128.61598656212752,convergence
IAU_SLV,IAU,SLV,COMMODITIES,LONG,2016-07-01,2016-07-19,11,-2.737750979670345,-1.9482926215947707,0.6977183882919844,5.792865443104273,-113.9569432746684,max_holding
GLD_SLV,GLD,SLV,COMMODITIES,LONG,2016-07-01,2016-07-19,11,-2.799858918595666,-1.9420148090775167,0.7016493514758871,5.82253145380678,-114.50793098906829,max_holding
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2016-06-29,2016-07-19,13,2.230190103822743,1.6885882120405098,0.5599706092868469,6.876262268945673,-47.14585336672049,max_holding
EWJ_DXJ,EWJ,DXJ,ASIA_DEV,SHORT,2016-07-05,2016-07-21,12,2.6543513280946494,0.6291066840402204,0.7525620687965349,6.271514300868031,172.97826418352074,max_holding
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2016-09-09,2016-09-27,12,-2.32100060946798,-1.646870195795435,0.6082778067062804,6.330907776686568,-71.88102845829773,max_holding
VFH_IAI,VFH,IAI,FINANCIALS,LONG,2016-09-13,2016-09-30,13,-2.2127055696030693,-1.6091596206210734,0.5599706092868469,6.876262268945673,-60.71983570385375,max_holding
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2016-09-29,2016-10-10,7,-2.015545600992587,-0.36393860453120364,0.6082778067062804,6.330907776686568,92.53341646144736,convergence
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2016-11-09,2016-11-28,12,2.262353384961257,1.5809503294787781,0.6082778067062804,6.330907776686568,-102.92502530212298,max_holding
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2016-12-07,2016-12-23,12,2.1540279324861396,1.5835834522179861,0.6082778067062804,6.330907776686568,-81.3249553698048,max_holding
EWH_EWY,EWH,EWY,ASIA_DEV,SHORT,2017-04-10,2017-04-20,7,2.260097086944703,0.48284251071274675,1.087911225271721,7.869287278776045,109.3413208351908,convergence
EWU_EWL,EWU,EWL,EUROPE,LONG,2017-04-26,2017-05-10,10,-2.0495305037644957,-0.7660383258966263,0.958479951035514,5.111681196889326,-2.6331446464929797,max_holding
IWD_DVY,IWD,DVY,US_VALUE,LONG,2017-04-11,2017-05-11,21,-2.2102450879591387,-0.4354341540136089,1.00009748656704,12.241092040686318,-3.769005850518397,convergence
EWU_EWN,EWU,EWN,EUROPE,LONG,2017-05-04,2017-05-15,7,-2.1144726175853052,-0.36211082741167055,0.7317899899267137,6.145645617589571,117.68019208013841,convergence
EWI_EWL,EWI,EWL,EUROPE,SHORT,2017-04-24,2017-05-15,15,2.3075349375530254,2.028588482532947,0.10785626054783458,7.815676404105271,-512.8476225541987,max_holding
EWI_EWN,EWI,EWN,EUROPE,SHORT,2017-04-24,2017-05-16,16,2.2479825135714124,2.2167188326759426,0.22044516971296368,8.426753801093618,-547.2823198300877,max_holding
EWH_EWY,EWH,EWY,ASIA_DEV,LONG,2017-05-08,2017-05-30,15,-2.428866372657127,-1.4823691686205533,1.087911225271721,7.869287278776045,-76.57379800553414,max_holding
EWI_EWL,EWI,EWL,EUROPE,SHORT,2017-05-15,2017-06-06,15,2.028588482532947,1.0761590787766533,0.10785626054783458,7.815676404105271,23.648632286415822,max_holding
EWI_EWN,EWI,EWN,EUROPE,SHORT,2017-05-16,2017-06-08,16,2.2167188326759426,1.2342200643835912,0.22044516971296368,8.426753801093618,38.31184404057488,max_holding
IWD_DVY,IWD,DVY,US_VALUE,LONG,2017-05-31,2017-06-28,20,-2.0257091583358604,-0.20075435348859666,1.00009748656704,12.241092040686318,9.520066053047302,convergence
EWU_EWN,EWU,EWN,EUROPE,LONG,2017-06-21,2017-06-29,6,-2.066876485820648,-0.3842936175073719,0.7317899899267137,6.145645617589571,52.65599319629102,convergence
EWU_EWL,EWU,EWL,EUROPE,LONG,2017-06-20,2017-07-05,10,-2.6668207831736472,-1.1319341204500557,0.958479951035514,5.111681196889326,8.102165334433405,max_holding
EWU_EWL,EWU,EWL,EUROPE,SHORT,2017-09-21,2017-10-05,10,2.078949666780568,0.38161640084403253,0.958479951035514,5.111681196889326,33.49392722774196,max_holding
EWU_EWL,EWU,EWL,EUROPE,SHORT,2017-10-24,2017-10-25,1,2.2853799193998987,2.8142180338852953,0.958479951035514,5.111681196889326,-52.715900323049155,regime_break
EWU_EWL,EWU,EWL,EUROPE,SHORT,2017-10-25,2017-10-26,1,2.8142180338852953,2.071767211678239,0.958479951035514,5.111681196889326,7.80730545449779,regime_break
EWU_EWL,EWU,EWL,EUROPE,SHORT,2017-10-26,2017-10-27,1,2.071767211678239,2.2387119571750524,0.958479951035514,5.111681196889326,-34.40539898539311,regime_break
EWU_EWL,EWU,EWL,EUROPE,SHORT,2017-10-27,2017-11-02,4,2.2387119571750524,1.393205259001219,0.958479951035514,5.111681196889326,3.5675437865010835,regime_break
EWU_EWL,EWU,EWL,EUROPE,SHORT,2017-12-20,2017-12-29,6,2.1054696845607936,2.2810262359700912,0.958479951035514,5.111681196889326,-57.4524918845701,period_end
VGK_EWQ,VGK,EWQ,EUROPE,LONG,2018-04-30,2018-05-04,4,-2.2436262663485635,-0.10874253341602674,0.8204515309797383,8.356567510317502,35.43217501356764,convergence
VGK_EWQ,VGK,EWQ,EUROPE,LONG,2018-05-24,2018-06-12,12,-2.1169627390979735,-0.3067018230969377,0.8204515309797383,8.356567510317502,5.710405141886383,convergence
VFH_IAI,VFH,IAI,FINANCIALS,LONG,2018-05-29,2018-06-15,13,-2.1908736870635916,-1.9739135142970252,0.771345345878582,6.905682332870546,-18.107958956022767,max_holding
DIA_RSP,DIA,RSP,US_BROAD,LONG,2018-06-11,2018-06-29,14,-2.011822807307674,-1.3988802323520202,1.6182500857726463,7.113637816560733,-58.97914183259833,max_holding
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2019-04-02,2019-04-18,12,2.17144662656418,1.9937990525357223,0.7335769138790394,6.276872037949296,-187.84845098085663,max_holding
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2019-04-22,2019-05-08,12,2.244790113315735,1.0343229698132446,0.7335769138790394,6.276872037949296,78.32315058165452,max_holding
KRE_IAI,KRE,IAI,FINANCIALS,LONG,2019-04-17,2019-05-08,14,-2.278458924285634,-1.2479090359999465,1.4884903085455372,7.182875906431372,3.6516685072655335,max_holding
IJR_VBK,IJR,VBK,US_SMALL,LONG,2019-05-30,2019-06-17,12,-2.01419139199633,-2.6432352394168763,1.081618948200894,6.418177738263386,-115.84217909321622,max_holding
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2019-06-07,2019-06-25,12,2.0246992818210634,1.7768887805532803,0.7335769138790394,6.276872037949296,-94.81333938621884,max_holding
KRE_IAI,KRE,IAI,FINANCIALS,LONG,2019-06-05,2019-06-25,14,-2.1041850328213205,-1.1303068579495448,1.4884903085455372,7.182875906431372,-6.403454094698844,max_holding
IJR_VBK,IJR,VBK,US_SMALL,LONG,2019-06-17,2019-07-03,12,-2.6432352394168763,-1.6955100546296664,1.081618948200894,6.418177738263386,-33.5815115307922,max_holding
IJR_VBK,IJR,VBK,US_SMALL,SHORT,2019-09-10,2019-09-26,12,3.3444750228691214,2.033013955278849,1.081618948200894,6.418177738263386,-45.840374396195884,max_holding
IJR_VBK,IJR,VBK,US_SMALL,SHORT,2019-09-26,2019-10-14,12,2.033013955278849,0.7125380165806147,1.081618948200894,6.418177738263386,38.729839355767155,max_holding
DIA_RSP,DIA,RSP,US_BROAD,SHORT,2020-03-30,2020-04-16,12,2.473448054920855,1.8319018155970848,0.9573891228524416,6.346934817383057,-71.12357991308734,max_holding
DIA_RSP,DIA,RSP,US_BROAD,LONG,2020-06-03,2020-06-19,12,-2.151713458964427,-0.6694115586471786,0.9573891228524416,6.346934817383057,44.65989705631619,max_holding
RSP_OEF,RSP,OEF,US_BROAD,SHORT,2020-06-03,2020-06-23,14,2.4508014827936426,0.41171513057807807,0.7971598639449516,8.804754669507204,201.28128396492298,convergence
EWJ_EWY,EWJ,EWY,ASIA_DEV,LONG,2021-04-20,2021-05-07,13,-2.35769382580646,-1.1641367961783697,0.5588083308279926,6.513117186127509,84.66195771580738,max_holding
EWJ_EWY,EWJ,EWY,ASIA_DEV,LONG,2021-05-12,2021-05-21,7,-2.0715406544328654,-0.24483803739374727,0.5588083308279926,6.513117186127509,171.15412394583538,convergence
LQD_IGIB,LQD,IGIB,BONDS_CORP,SHORT,2021-06-16,2021-07-01,11,2.3015121854607967,1.7673496248221119,1.0931130284642228,5.827794897848419,-32.53688362807808,max_holding
LQD_VCIT,LQD,VCIT,BONDS_CORP,SHORT,2021-06-16,2021-07-01,11,2.1492216554144132,1.871738880592079,1.117450960987107,5.677474585783511,-36.5083366919225,max_holding
IWM_VBK,IWM,VBK,US_SMALL,LONG,2022-04-29,2022-05-04,3,-2.165073746479618,-0.19191827557090516,0.6974458765524693,10.481260346298741,83.72827485359592,convergence
IWM_VBR,IWM,VBR,US_SMALL,LONG,2022-04-22,2022-05-11,13,-2.325186397391239,-3.186781437181267,0.43428582359179896,6.609803153517925,-563.1129812488242,max_holding
DIA_RSP,DIA,RSP,US_BROAD,LONG,2022-05-19,2022-05-24,3,-2.7219339687031123,0.17113950574317977,0.7861457984042977,7.186027175147106,70.17897098504051,convergence
IWM_VBR,IWM,VBR,US_SMALL,LONG,2022-05-11,2022-05-31,13,-3.186781437181267,-0.8051480099334399,0.43428582359179896,6.609803153517925,351.60618975113647,max_holding
EWU_EWI,EWU,EWI,EUROPE,SHORT,2022-06-10,2022-06-17,5,2.863846213986089,0.14049407009979342,0.8842583660989936,6.288075854728301,114.70138658842522,convergence
EWU_EWI,EWU,EWI,EUROPE,SHORT,2022-06-27,2022-07-14,12,2.22806925764971,2.979754812236183,0.8842583660989936,6.288075854728301,-223.42273447601653,max_holding
IWM_VBK,IWM,VBK,US_SMALL,LONG,2022-06-16,2022-07-18,20,-2.2092310355077602,-0.757771073269367,0.6974458765524693,10.481260346298741,-5.950639171328977,max_holding
EWU_EWI,EWU,EWI,EUROPE,SHORT,2022-07-14,2022-08-01,12,2.979754812236183,0.9495465794452678,0.8842583660989936,6.288075854728301,92.46928381324332,max_holding
IWM_VBK,IWM,VBK,US_SMALL,SHORT,2022-08-12,2022-08-30,12,2.0579856782335617,0.3862807709737646,0.6974458765524693,10.481260346298741,84.98798133974596,convergence
EWU_EWI,EWU,EWI,EUROPE,LONG,2022-09-14,2022-09-30,12,-2.2297114975258396,-1.2602747336840683,0.8842583660989936,6.288075854728301,-20.831330097977027,max_holding
IWM_VBK,IWM,VBK,US_SMALL,LONG,2022-09-30,2022-10-13,9,-2.0053592021342506,-0.18249174601053034,0.6974458765524693,10.481260346298741,147.3777162547217,convergence
EWJ_EWS,EWJ,EWS,ASIA_DEV,SHORT,2023-05-12,2023-06-09,19,2.287346060062028,1.8676183690315078,1.1065781060442081,9.846141690221737,-287.27727705199624,max_holding
VGK_EWU,VGK,EWU,EUROPE,SHORT,2023-06-28,2023-07-20,15,2.0122080993142406,-0.20711234261054418,1.2828101018099203,8.896278483766384,27.64604853781542,convergence
EZU_EWU,EZU,EWU,EUROPE,SHORT,2023-06-28,2023-07-20,15,2.8011406227026994,-0.08806117100355225,1.3642039164699205,12.919627311750563,71.44659647892354,convergence
VGK_EWU,VGK,EWU,EUROPE,LONG,2023-09-13,2023-10-06,17,-2.26986797605947,-1.2115629345333678,1.2828101018099203,8.896278483766384,-47.254918776298275,max_holding
EZU_EWU,EZU,EWU,EUROPE,LONG,2023-09-12,2023-10-17,25,-2.051113429857836,-2.045764679850636,1.3642039164699205,12.919627311750563,-206.62846085394847,max_holding
EZU_EWU,EZU,EWU,EUROPE,LONG,2023-10-17,2023-10-26,7,-2.045764679850636,-0.3916310019931827,1.3642039164699205,12.919627311750563,122.62862205814747,convergence
EWU_EWL,EWU,EWL,EUROPE,SHORT,2024-03-28,2024-04-15,11,2.5143576869323905,1.5342275459780328,0.5678285749141995,5.532446725675178,-60.38912919236004,max_holding
EWU_EWL,EWU,EWL,EUROPE,SHORT,2024-04-25,2024-05-10,11,2.196084174466025,1.7589269369239477,0.5678285749141995,5.532446725675178,-141.37039787044276,max_holding
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2024-05-31,2024-06-14,10,-2.277394083451133,-4.0919026578502695,0.9673024836805407,7.301731784316772,-470.84215572471606,stop_loss
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2024-06-14,2024-07-08,14,-4.0919026578502695,-1.1861627494560445,0.9673024836805407,7.301731784316772,164.72128207559146,max_holding
